ID::585399887442776064	Text::@RepGarrett You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/HsEc3a7Uk3	Time::2015-04-07 4:13:04 AM	Lattitude::26.211986	Longitude::-98.26964
ID::585399935291367424	Text::@RepDaveJoyce You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/gt5XU4dmZ0	Time::2015-04-07 4:13:15 AM	Lattitude::26.211996	Longitude::-98.269628
ID::585400065247711234	Text::@RepThomasMassie You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/UCNjRbk6TY	Time::2015-04-07 4:13:46 AM	Lattitude::26.211993	Longitude::-98.269634
ID::585400103734652928	Text::@RepHolding You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/XW7VgmTHHs	Time::2015-04-07 4:13:55 AM	Lattitude::26.211971	Longitude::-98.269663
ID::585400155664330753	Text::@RepAnnWagner You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/dqfpNtmg6R	Time::2015-04-07 4:14:07 AM	Lattitude::26.211965	Longitude::-98.269671
ID::585400236526305280	Text::@RepLukeMesser You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/PVT0LEwlnK	Time::2015-04-07 4:14:27 AM	Lattitude::26.211965	Longitude::-98.269671
ID::585400319363817472	Text::@RepLukeMesser You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/mJ3SMxnf66	Time::2015-04-07 4:14:47 AM	Lattitude::26.212033	Longitude::-98.2696
ID::585400358660247552	Text::@RepKevinCramer You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/30tAkTYkVD	Time::2015-04-07 4:14:56 AM	Lattitude::26.212018	Longitude::-98.269607
ID::585400403761573888	Text::@RodneyDavis You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/iO9wa5hs9m	Time::2015-04-07 4:15:07 AM	Lattitude::26.212018	Longitude::-98.269607
ID::585400417418379267	Text::@NaughtyBeyotch Obama's fault!  The US military could take ISIS out In a week. He does not want to!	Time::2015-04-07 4:15:10 AM	Lattitude::35.886317	Longitude::-80.225535
ID::585400452239360000	Text::@RepDeSantis You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/RfBNkhIwC2	Time::2015-04-07 4:15:18 AM	Lattitude::26.212018	Longitude::-98.269607
ID::585400614047186944	Text::@RepMarkMeadows You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/mA1eXTMbjx	Time::2015-04-07 4:15:57 AM	Lattitude::26.212004	Longitude::-98.269622
ID::585400667407155200	Text::@RepMullin You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/NsBuLkmF5S	Time::2015-04-07 4:16:09 AM	Lattitude::26.212004	Longitude::-98.269622
ID::585400675972022272	Text::@jaisuschristt and I'm Obama	Time::2015-04-07 4:16:12 AM	Lattitude::50.475277	Longitude::-3.540494
ID::585401108253708289	Text::Obama with many women in his life and together they don't need Nkandla. @ Pretoria South Africa https://t.co/qlTN1A9ID0	Time::2015-04-07 4:17:55 AM	Lattitude::-25.7533	Longitude::28.1869
ID::585401123579629568	Text::@RepTomRice You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/kheJkUrsBk	Time::2015-04-07 4:17:58 AM	Lattitude::26.211989	Longitude::-98.26965
ID::585401213438406656	Text::@RepChrisStewart You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/Du7tPCiEzh	Time::2015-04-07 4:18:20 AM	Lattitude::26.211989	Longitude::-98.26965
ID::585401255930961920	Text::@RepLaMalfa You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/EmRerdDbG0	Time::2015-04-07 4:18:30 AM	Lattitude::26.211989	Longitude::-98.26965
ID::585401325224996864	Text::@RepChrisCollins You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/Yrrvot7pxk	Time::2015-04-07 4:18:46 AM	Lattitude::26.21197	Longitude::-98.269687
ID::585401426081218560	Text::@RepPaulCook You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/nwlU7m2STw	Time::2015-04-07 4:19:10 AM	Lattitude::26.211939	Longitude::-98.2697
ID::585401474089234432	Text::@RepScottPerry You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/RFwEuDVIHV	Time::2015-04-07 4:19:22 AM	Lattitude::26.211939	Longitude::-98.2697
ID::585401571778797569	Text::@RepScottPerry You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/cOIssEpmgU	Time::2015-04-07 4:19:45 AM	Lattitude::26.211998	Longitude::-98.269641
ID::585401609703727105	Text::@reppittenger You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/ws4lUXQUg9	Time::2015-04-07 4:19:54 AM	Lattitude::26.211969	Longitude::-98.269674
ID::585401653441925120	Text::@RepMattSalmon You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/TMmz6gBf4D	Time::2015-04-07 4:20:05 AM	Lattitude::26.211969	Longitude::-98.269674
ID::585401745259397121	Text::@RepWalorski You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/c8DUpWLYGq	Time::2015-04-07 4:20:26 AM	Lattitude::26.211969	Longitude::-98.269674
ID::585401796564135938	Text::@TXRandy14 You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/hwIeYvbifX	Time::2015-04-07 4:20:39 AM	Lattitude::26.211966	Longitude::-98.269682
ID::585401918463148032	Text::@RepTedYoho You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/jm811ByclW	Time::2015-04-07 4:21:08 AM	Lattitude::26.211966	Longitude::-98.269682
ID::585401953649233920	Text::@JimPressOffice You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/BXIZ8BwBLp	Time::2015-04-07 4:21:16 AM	Lattitude::26.211966	Longitude::-98.269682
ID::585402021190111232	Text::@RepDavidValadao You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/ttp98wyIop	Time::2015-04-07 4:21:32 AM	Lattitude::26.211937	Longitude::-98.269698
ID::585402065637085185	Text::@RepChrisSmith You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/R0zXsNViyJ	Time::2015-04-07 4:21:43 AM	Lattitude::26.211941	Longitude::-98.269705
ID::585402121849143296	Text::@RepRWilliams You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/M7eQTPsrdU	Time::2015-04-07 4:21:56 AM	Lattitude::26.211941	Longitude::-98.269705
ID::585402175649488897	Text::@KeithRothfus You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/q0wU6XMTqy	Time::2015-04-07 4:22:09 AM	Lattitude::26.211941	Longitude::-98.269705
ID::585402266703638528	Text::@RepJBridenstine You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/israTJZnuk	Time::2015-04-07 4:22:31 AM	Lattitude::26.211953	Longitude::-98.269691
ID::585402404369141761	Text::@RepBradWenstrup You only put excuses to allIn #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/bf3RQBuOLe	Time::2015-04-07 4:23:04 AM	Lattitude::26.211954	Longitude::-98.269695
ID::585402521402806272	Text::@RepHardy You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/zj7UiNTLjX	Time::2015-04-07 4:23:32 AM	Lattitude::26.211913	Longitude::-98.269735
ID::585402594211704832	Text::@RepCurbelo You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/oAULBvFiTn	Time::2015-04-07 4:23:49 AM	Lattitude::26.211939	Longitude::-98.269691
ID::585402639757615104	Text::@RepMikeBishop You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/s9IaS9K5ot	Time::2015-04-07 4:24:00 AM	Lattitude::26.211939	Longitude::-98.269691
ID::585402710154878976	Text::@RepComstock You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/NirSuA1saV	Time::2015-04-07 4:24:17 AM	Lattitude::26.211945	Longitude::-98.269702
ID::585402860076048384	Text::@RepDold You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/rY7lQDB2IS	Time::2015-04-07 4:24:52 AM	Lattitude::26.211961	Longitude::-98.269679
ID::585402902505623552	Text::@RepTomEmmer You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/X9ZH7SA5i2	Time::2015-04-07 4:25:02 AM	Lattitude::26.211963	Longitude::-98.269678
ID::585402992469258240	Text::@RepFrankGuinta You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/e92erMgw1n	Time::2015-04-07 4:25:24 AM	Lattitude::26.211963	Longitude::-98.269678
ID::585403048475824128	Text::@RepFrenchHill You only put excuses to all In #ImmigrationReform U say #ISIS when Obama called 4 #Iran #GOPWantsWar http://t.co/jAKyJyt9kO	Time::2015-04-07 4:25:37 AM	Lattitude::26.211961	Longitude::-98.269671
ID::585403070986719232	Text::A gun lover sees the evils of gun culture: White supremacists Obama haters http://t.co/tMMQdpIRwq	Time::2015-04-07 4:25:43 AM	Lattitude::42.441036	Longitude::-71.712822
